name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Catellatospora sp. IY07-71	2728827	S	10	0	10	0.00000
Nonomuraea sp. ATCC 55076	1909395	S	53	0	53	0.00000
Nonomuraea gerenzanensis	93944	S	21	0	21	0.00000
Thermomonospora amylolytica	1411117	S	11	0	11	0.00000
Catenulispora acidiphila	304895	S	66	0	66	0.00000
Jatrophihabitans sp. SB3-54	2944128	S	13	0	13	0.00000
Parafannyhessea umbonata	604330	S	39	20	59	0.00000
Lancefieldella parvula	1382	S	15	0	15	0.00000
Deinococcus radiodurans	1299	S	1324718	16219	1340937	0.04957
Deinococcus wulumuqiensis	980427	S	479	3	482	0.00002
Deinococcus gobiensis	502394	S	32	0	32	0.00000
Deinococcus actinosclerus	1768108	S	30	0	30	0.00000
Deinococcus sp. NW-56	2080419	S	10	0	10	0.00000
Deinococcus irradiatisoli	2202254	S	13	0	13	0.00000
Deinococcus aquaticus	328692	S	13	0	13	0.00000
Deinococcus metallilatus	1211322	S	10	0	10	0.00000
Deinococcus puniceus	1182568	S	10	0	10	0.00000
Truepera radiovictrix	332249	S	16	0	16	0.00000
Spiroplasma taiwanense	2145	S	10	5	15	0.00000
Caldilinea aerophila	133453	S	31	0	31	0.00000
Pseudomonas aeruginosa	287	S	703028	1347550	2050578	0.07581
Pseudomonas paraeruginosa	2994495	S	2408	560640	563048	0.02082
Pseudomonas citronellolis	53408	S	306	90	396	0.00001
Pseudomonas mendocina	300	S	290	39	329	0.00001
Pseudomonas alcaligenes	43263	S	191	72	263	0.00001
Pseudomonas furukawaii	1149133	S	104	15	119	0.00000
Pseudomonas oleovorans	301	S	10	6	16	0.00000
Pseudomonas resinovorans	53412	S	101	6	107	0.00000
Pseudomonas multiresinivorans	95301	S	30	1	31	0.00000
Pseudomonas sp. OE 28.3	2745519	S	404	114	518	0.00002
Pseudomonas sp. SL4(2022)	2994661	S	29	0	29	0.00000
Pseudomonas sp. TCU-HL1	1856685	S	21	1	22	0.00000
Pseudomonas sp. ATCC 13867	1294143	S	17	7	24	0.00000
Pseudomonas sp. MM227	3019968	S	13	0	13	0.00000
Pseudomonas sp. GCEP-101	2974552	S	13	5	18	0.00000
Pseudomonas sp. NS1(2017)	2025658	S	12	7	19	0.00000
Pseudomonas sp. ZM23	2961893	S	12	2	14	0.00000
Pseudomonas sp. M1	95619	S	10	25	35	0.00000
Pseudomonas sp. PS1(2021)	2866282	S	10	22	32	0.00000
Pseudomonas fluorescens	294	S	124	5	129	0.00000
Pseudomonas syringae	317	S	39	13	52	0.00000
Pseudomonas chlororaphis	587753	S	60	2	62	0.00000
Pseudomonas putida	303	S	24	2	26	0.00000
Pseudomonas fulva	47880	S	23	3	26	0.00000
Pseudomonas guangdongensis	1245526	S	31	0	31	0.00000
Pseudomonas psychrotolerans	237610	S	14	0	14	0.00000
Pseudomonas knackmussii	65741	S	13	0	13	0.00000
Pseudomonas vanderleydeniana	2745495	S	12	0	12	0.00000
Pseudomonas otitidis	319939	S	12	0	12	0.00000
Pseudomonas cavernae	2320867	S	10	0	10	0.00000
Marinobacter nauticus	2743	S	25	0	25	0.00000
Escherichia coli	562	S	84572	1974783	2059355	0.07613
Escherichia albertii	208962	S	2151	605	2756	0.00010
